name,company,category,calories,protein_g,carbs_g,fat_g,saturated_fat_g,sugar_g,sodium_mg,base_unit,default_serving_weight_grams
Pecans Variation 152,Telma,Fats,657.9,8.8,13.2,68.6,5.9,3.8,0.0,100g,20.0
"Beef Steak, cooked Variation 153",Berman,Meat,273.3,28.4,0.0,16.4,6.6,0.0,54.7,100g,200.0
Almond Milk (Unsweetened) Variation 154,Tirat Zvi,Dairy,14.0,0.4,0.3,1.2,0.1,0.0,72.1,100ml,200.0
Mustard Variation 155,Yotvata,Spreads,63.1,4.2,5.1,3.2,0.2,0.9,1051.4,100g,10.0
Cashews (Raw) Variation 156,Berman,Fats,591.3,19.5,32.3,46.8,8.3,6.3,12.8,100g,20.0
Pecans Variation 157,Carmel,Fats,677.8,9.0,13.6,70.6,6.1,3.9,0.0,100g,20.0
"Beef Steak, cooked Variation 158",Carmel,Meat,267.5,27.8,0.0,16.1,6.4,0.0,53.5,100g,200.0
"Black Beans, cooked Variation 159",Tara,Grains,139.5,9.4,25.1,0.5,0.1,0.3,1.1,100g,150.0
Pita Bread Variation 160,Shamir,Grains,279.4,9.2,55.9,1.2,0.2,1.3,544.6,100g,100.0
"Potato, cooked Variation 161",Bereshit,Vegetables,89.8,2.0,20.8,0.1,0.0,0.9,5.2,100g,150.0
"Kidney Beans, cooked Variation 162",Allin,Grains,128.2,8.8,23.0,0.5,0.1,0.3,2.0,100g,150.0
Flaxseeds Variation 163,Elite,Fats,550.2,18.9,29.8,43.5,3.8,1.5,30.9,100g,15.0
Orange Variation 164,Sugat,Fruits,49.0,0.9,12.3,0.1,0.0,9.8,0.0,100g,130.0
"Beef Steak, cooked Variation 165",Allin,Meat,241.3,25.1,0.0,14.5,5.8,0.0,48.3,100g,200.0
Pecans Variation 166,Carmel,Fats,711.7,9.5,14.3,74.2,6.4,4.1,0.0,100g,20.0
Baguette Variation 167,Elite,Grains,282.6,10.3,53.6,1.3,0.3,2.2,621.0,100g,50.0
"Beef Steak, cooked Variation 168",Berman,Meat,229.7,23.9,0.0,13.8,5.5,0.0,45.9,100g,200.0
Cashews (Raw) Variation 169,Shkediya,Fats,527.0,17.3,28.8,41.7,7.4,5.6,11.4,100g,20.0
"Broccoli, cooked Variation 170",Mama Of,Vegetables,38.4,2.6,7.9,0.4,0.1,1.5,44.9,100g,100.0
Cashews (Raw) Variation 171,Shkediya,Fats,597.9,19.7,32.7,47.4,8.4,6.4,13.0,100g,20.0
Cola Variation 172,Osem,Beverages,39.8,0.0,10.3,0.0,0.0,10.3,3.9,100ml,330.0
"Beef Steak, cooked Variation 173",Telma,Meat,258.4,26.9,0.0,15.5,6.2,0.0,51.7,100g,200.0
"Beef Steak, cooked Variation 174",Tirat Zvi,Meat,236.5,24.6,0.0,14.2,5.7,0.0,47.3,100g,200.0
"Potato, cooked Variation 175",Gad,Vegetables,88.3,1.9,20.4,0.1,0.0,0.9,5.1,100g,150.0
"Black Beans, cooked Variation 176",B&D,Grains,145.1,9.8,26.0,0.5,0.1,0.3,1.1,100g,150.0
"Broccoli, cooked Variation 177",Yitzhar,Vegetables,37.7,2.6,7.8,0.4,0.1,1.5,44.1,100g,100.0
Protein Water Variation 178,Yotvata,Beverages,21.8,4.9,0.0,0.0,0.0,0.0,10.9,100ml,330.0
"Black Beans, cooked Variation 179",Allin,Grains,144.3,9.7,25.9,0.5,0.1,0.3,1.1,100g,150.0
Seitan Variation 180,Telma,Protein,396.1,80.3,15.0,2.0,0.3,0.0,31.0,100g,100.0
Chia Seeds Variation 181,Mutti,Fats,463.5,15.7,40.2,29.3,3.1,0.0,15.3,100g,15.0
Seitan Variation 182,Strauss,Protein,374.2,75.9,14.2,1.9,0.3,0.0,29.3,100g,100.0
Flaxseeds Variation 183,Quaker,Fats,579.9,19.9,31.4,45.8,4.0,1.6,32.6,100g,15.0
"Broccoli, cooked Variation 184",Carmel,Vegetables,33.0,2.3,6.8,0.4,0.1,1.3,38.6,100g,100.0
"Sweet Potato, cooked Variation 185",Shkediya,Vegetables,87.5,1.9,20.1,0.1,0.0,6.3,35.0,100g,150.0
Cola Variation 186,Achva,Beverages,44.1,0.0,11.4,0.0,0.0,11.4,4.3,100ml,330.0
"Black Beans, cooked Variation 187",Tara,Grains,137.2,9.3,24.6,0.5,0.1,0.3,1.0,100g,150.0
Watermelon Variation 188,Shkediya,Fruits,29.2,0.6,7.4,0.2,0.0,6.0,1.0,100g,150.0
Grapes Variation 189,Mutti,Fruits,67.9,0.7,17.8,0.2,0.1,15.3,2.0,100g,100.0
"Kidney Beans, cooked Variation 190",Bereshit,Grains,129.8,8.9,23.3,0.5,0.1,0.3,2.0,100g,150.0
Protein Water Variation 191,Quaker,Beverages,18.0,4.1,0.0,0.0,0.0,0.0,9.0,100ml,330.0
Greek Yogurt 0% Variation 192,Super Effect,Dairy,55.4,9.7,3.8,0.0,0.0,3.0,33.8,100g,150.0
Pita Bread Variation 193,Allin,Grains,291.3,9.6,58.3,1.3,0.2,1.4,567.7,100g,100.0
Bell Pepper (Red) Variation 194,Gad,Vegetables,30.0,1.0,5.8,0.3,0.0,4.1,3.9,100g,100.0
Protein Water Variation 195,Osem,Beverages,18.4,4.1,0.0,0.0,0.0,0.0,9.2,100ml,330.0
Mustard Variation 196,Shkediya,Spreads,63.7,4.2,5.1,3.2,0.2,0.9,1062.2,100g,10.0
Apple Juice Variation 197,Shkediya,Beverages,46.8,0.1,11.5,0.1,0.0,9.8,4.1,100ml,200.0
Flaxseeds Variation 198,B&D,Fats,484.6,16.6,26.2,38.3,3.4,1.4,27.2,100g,15.0
Oat Milk Variation 199,Angel,Dairy,41.8,0.3,6.6,1.5,0.2,3.1,43.7,100ml,200.0
Protein Water Variation 200,Tirat Zvi,Beverages,20.1,4.5,0.0,0.0,0.0,0.0,10.0,100ml,330.0
Chia Seeds Variation 201,Telma,Fats,458.4,15.6,39.7,29.0,3.1,0.0,15.1,100g,15.0
Almond Milk (Unsweetened) Variation 202,Starkist,Dairy,11.9,0.4,0.3,1.0,0.1,0.0,61.4,100ml,200.0
Carrot Variation 203,Shamir,Vegetables,40.3,0.9,9.4,0.2,0.0,4.6,67.8,100g,50.0
Seitan Variation 204,Mutti,Protein,343.2,69.6,13.0,1.8,0.3,0.0,26.9,100g,100.0
"Potato, cooked Variation 205",Super Effect,Vegetables,95.2,2.1,22.0,0.1,0.0,1.0,5.5,100g,150.0
Grapes Variation 206,Gad,Fruits,73.1,0.7,19.2,0.2,0.1,16.4,2.1,100g,100.0
Cashews (Raw) Variation 207,Telma,Fats,580.0,19.1,31.7,45.9,8.2,6.2,12.6,100g,20.0
Apple Juice Variation 208,Tirat Zvi,Beverages,43.1,0.1,10.6,0.1,0.0,9.0,3.7,100ml,200.0
Mustard Variation 209,Yotvata,Spreads,68.5,4.6,5.5,3.4,0.2,0.9,1141.5,100g,10.0
"Beef Steak, cooked Variation 210",Quaker,Meat,270.8,28.2,0.0,16.2,6.5,0.0,54.2,100g,200.0
"Sweet Potato, cooked Variation 211",Osem,Vegetables,85.3,1.9,19.6,0.1,0.0,6.2,34.1,100g,150.0
Flaxseeds Variation 212,Berman,Fats,500.1,17.1,27.1,39.5,3.5,1.4,28.1,100g,15.0
Carrot Variation 213,Yitzhar,Vegetables,42.1,0.9,9.9,0.2,0.0,4.8,70.9,100g,50.0
Baguette Variation 214,Tirat Zvi,Grains,280.1,10.2,53.2,1.3,0.3,2.1,615.5,100g,50.0
Mustard Variation 215,Elite,Spreads,62.7,4.2,5.0,3.1,0.2,0.9,1044.5,100g,10.0
"Potato, cooked Variation 216",Gad,Vegetables,91.5,2.0,21.1,0.1,0.0,0.9,5.3,100g,150.0
Orange Juice Variation 217,Allin,Beverages,41.3,0.6,9.6,0.2,0.0,7.7,0.9,100ml,200.0
"Sweet Potato, cooked Variation 218",B&D,Vegetables,86.6,1.9,19.9,0.1,0.0,6.3,34.6,100g,150.0
Pecans Variation 219,Tirat Zvi,Fats,687.4,9.2,13.8,71.6,6.2,4.0,0.0,100g,20.0
Apple Juice Variation 220,Quaker,Beverages,45.9,0.1,11.3,0.1,0.0,9.6,4.0,100ml,200.0
Baguette Variation 221,Sugat,Grains,256.1,9.3,48.6,1.2,0.3,2.0,562.7,100g,50.0
Almond Milk (Unsweetened) Variation 222,Mutti,Dairy,11.8,0.4,0.3,1.0,0.1,0.0,60.9,100ml,200.0
Flaxseeds Variation 223,Tirat Zvi,Fats,575.3,19.7,31.1,45.5,4.0,1.6,32.3,100g,15.0
Pecans Variation 224,Achva,Fats,708.4,9.4,14.2,73.8,6.4,4.1,0.0,100g,20.0
Apple Juice Variation 225,Tnuva,Beverages,46.4,0.1,11.4,0.1,0.0,9.7,4.0,100ml,200.0
Carrot Variation 226,Sugat,Vegetables,41.9,0.9,9.8,0.2,0.0,4.8,70.6,100g,50.0
"Potato, cooked Variation 227",Mutti,Vegetables,94.7,2.1,21.9,0.1,0.0,1.0,5.4,100g,150.0
Protein Water Variation 228,Soglowek,Beverages,21.2,4.8,0.0,0.0,0.0,0.0,10.6,100ml,330.0
Bell Pepper (Red) Variation 229,Strauss,Vegetables,31.5,1.0,6.1,0.3,0.0,4.3,4.1,100g,100.0
"Beef Steak, cooked Variation 230",Tnuva,Meat,265.6,27.6,0.0,15.9,6.4,0.0,53.1,100g,200.0
Watermelon Variation 231,Tirat Zvi,Fruits,30.8,0.6,7.8,0.2,0.0,6.4,1.0,100g,150.0
"Beef Steak, cooked Variation 232",Tnuva,Meat,257.6,26.8,0.0,15.5,6.2,0.0,51.5,100g,200.0
Watermelon Variation 233,Skippy,Fruits,28.6,0.6,7.3,0.2,0.0,5.9,1.0,100g,150.0
Bell Pepper (Red) Variation 234,Allin,Vegetables,28.0,0.9,5.4,0.3,0.0,3.8,3.6,100g,100.0
Cashews (Raw) Variation 235,Strauss,Fats,573.2,18.9,31.3,45.4,8.1,6.1,12.4,100g,20.0
"Black Beans, cooked Variation 236",Quaker,Grains,127.2,8.6,22.8,0.5,0.1,0.3,1.0,100g,150.0
Apple Juice Variation 237,Achva,Beverages,41.6,0.1,10.2,0.1,0.0,8.7,3.6,100ml,200.0
"Tofu, firm Variation 238",Gad,Protein,137.7,14.3,2.7,8.3,1.2,0.0,13.4,100g,100.0
Greek Yogurt 0% Variation 239,Quaker,Dairy,61.3,10.7,4.2,0.0,0.0,3.3,37.4,100g,150.0
Carrot Variation 240,Achla,Vegetables,44.1,1.0,10.3,0.2,0.0,5.1,74.2,100g,50.0
